kepoi_name,koi_period,koi_prad,koi_depth,planet_prob
K02855.01,1.400755743,1.3,144.4,0.9780120216333622
K02921.01,16.6146221,1.49,361.2,0.9778822171523022
K04893.01,6.58753699,1.51,232.1,0.9778124958414496
K07435.01,1.36752316,0.82,61.0,0.9777386924238389
K04694.01,19.2527652,1.24,138.5,0.9777097519625645
K04815.01,18.3721835,1.12,152.5,0.9776899365079698
K02512.01,15.92108138,3.14,716.8,0.9776883410135538
K00611.01,3.251659087,9.83,4747.9,0.9775066322119026
K05628.01,24.9093027,1.32,332.6,0.9774761804349377
K03259.01,72.9332762,2.45,770.4,0.9774538360234923
K01477.01,169.4976085,9.06,12192.0,0.9773845367880509
K00994.01,4.2989201,2.12,237.6,0.9773404440688205
K02712.01,7.50790041,1.77,145.0,0.9772743303502532
K07795.01,5.44085762,0.97,137.5,0.9772697796616999
K03358.01,10.10404351,4.05,1322.4,0.9771648057423444
K01708.01,32.7737631,5.0,564.5,0.9771029523966096
K04850.01,3.04185157,0.71,69.0,0.9770979457785901
K06934.01,22.2548897,2.16,83.8,0.9769825726076251
K07339.01,10.6982275,1.73,246.0,0.976800950355073
K04246.02,8.75630628,1.12,81.9,0.9763793822821196
K01522.02,12.654896,1.02,100.6,0.9761397895628974
